artist,title,album,lyrics,lyrics_length
Beyoncé,Drunk in Love,BEYONCÉ (Platinum Edition),"I've been drinkin', I've been drinkin'
I get filthy when that liquor get into me
I've been thinkin', I've been thinkin'
Why can't I keep my fingers off it?
Baby, I want you, na-na
Why can't I keep my fingers off you?
Baby, I want you, na-na
Cigars on ice, cigars on ice
Feelin' like an animal with these cameras all in my grill
Flashin' lights, flashin' lights
You got me faded, faded, faded
Baby, I want you, na-na
Can't keep your eyes off my fatty
Daddy, I want you, na-na
Drunk in love, I want you (Ah)

We woke up in the kitchen, sayin', ""How the hell did this shit happen?"", oh, baby
Drunk in love, we be all night
Last thing I remember is our beautiful bodies grindin' up in that club
Drunk in love

We be all night
Love, love
We be all night
Love, love

We be all night, and everything alright
No complaints from my body, so fluorescent under these lights
Boy, I'm drinkin', park it in my lot, 7-11
I'm rubbin' on it, rub-rubbin', if you scared, call that reverend
Boy, I'm drinkin', get my brain right, Armand de Brignac, gangster wife
Louis sheets, he sweat it out, like washrags, he wet it up
Boy, I'm drinkin', I'm singin' on the mic to my boy toys
Then I fill the tub up halfway, then ride it with my surfboard
Surfboard, surfboard
Grainin' on that wood, grainin'-grainin' on that wood
I'm swervin' on that, swervin'-swervin' on that
Big body been servin' all this, swerve, surfin' all in this good-good (Ha-ha-ha)

We woke up in the kitchen, sayin', ""How the hell did this shit happen?"", oh, baby
Drunk in love, we be all night
Last thing I remember is our beautiful bodies grindin' up in that club
Drunk in love
[Chorus: Beyoncé & 
JAY-Z
]
We be all night
Love, love
We be all night
Love, love (
I'm nice right now, hold up
)

That D'USSÉ is the shit, if I do say so myself
If I do say so myself, if I do say so myself
Hold up, stumble all in the house, time to back up all of that mouth
That you had all in the car, talkin' 'bout you the baddest bitch thus far
Talkin' 'bout you be reppin' that Third, I wanna see all the shit that I heard
Know I sling Clint Eastwood, hope you can handle this curve, uh
Foreplay in a foyer, fucked up my Warhol
Slid the panties right to the side, ain't got the time to take drawers off
On sight
Catch a charge, I might
Beat the box up like Mike in '97, I bite
I'm Ike Turner, turn up, baby, no, I don't play
""Now eat the cake, Anna Mae,"" said, ""Eat the cake, Anna Mae""
I'm nice
For y'all to reach these heights
You gon' need G3, 4, 5, 6 flights
Sleep tight
We sex again in the mornin'
Your breasteses is my breakfast, we goin' in
[Chorus: Beyoncé, 
Beyoncé & JAY-Z
]
We be all night
Love, love
We be all night
Love, love

I'm never tired, never tired
I been sippin', that's the only thing that's keepin' me on fire, we on fire
Didn't mean to spill that liquor all on my attire
I've been drinkin' watermelon
I want your body right here
Daddy, I want you right now
Can't keep your eyes off my fatty
Daddy, I want you

We be all night
Love, love
We be all night
Love, love",591
Beyoncé,Formation,Lemonade,"What happened at the New Wil'ins?
Bitch, I'm back by popular demand

Y'all haters corny with that Illuminati mess
Paparazzi, catch my fly and my cocky fresh
I'm so reckless when I rock my Givenchy dress (Stylin')
I'm so possessive so I rock his Roc necklaces
My daddy Alabama, momma Louisiana
You mix that negro with that Creole, make a Texas bama
I like my baby heir with baby hair and afros
I like my negro nose with Jackson Five nostrils
Earned all this money, but they never take the country out me
I got hot sauce in my bag, swag
[Interlude: Messy Mya 
& Big Freedia
]
Oh yeah, baby, oh yeah, I, oh, oh yes, I like that
I did not come to play with you hoes, haha
I came to slay, bitch
I like cornbreads and collard greens, bitch
Oh yes, you besta believe it

Y'all haters corny with that llluminati mess
Paparazzi, catch my fly and my cocky fresh
I'm so reckless when I rock my Givenchy dress (Stylin')
I'm so possessive so I rock his Roc necklaces
My daddy Alabama, momma Louisiana
You mix that negro with that Creole, make a Texas bama
I like my baby heir with baby hair and afros
I like my negro nose with Jackson Five nostrils
Earned all this money, but they never take the country out me
I got hot sauce in my bag, swag

I see it, I want it, I stunt; yellow bone-it
I dream it, I work hard, I grind 'til I own it
I twirl on them haters, albino alligators
El Camino with the seat low, sippin' Cuervo with no chaser
Sometimes I go off (I go off), I go hard (I go hard)
Get what's mine (Take what's mine), I'm a star (I'm a star)
'Cause I slay (Slay), I slay (Hey), I slay (Okay), I slay (Okay)
All day (Okay), I slay (Okay), I slay (Okay), I slay (Okay)
We gon' slay (Slay), gon' slay (Okay), we slay (Okay), I slay (Okay)
I slay (Okay), okay (Okay), I slay (Okay), okay, okay, okay, okay
Okay, okay, ladies, now let's get in formation, 'cause I slay
Okay, ladies, now let's get in formation, 'cause I slay
Prove to me you got some coordination, 'cause I slay
Slay trick, or you get eliminated

When he fuck me good, I take his ass to Red Lobster, ('cause I slay)
When he fuck me good, I take his ass to Red Lobster, we gon' slay
If he hit it right, I might take him on a flight on my chopper, (I slay)
Drop him off at the mall, let him buy some J's, let him shop up, ('cause I slay)
I might get your song played on the radio station, ('cause I slay)
I might get your song played on the radio station, ('cause I slay)
You just might be a black Bill Gates in the making, ('cause I slay)
I just might be a black Bill Gates in the making

I see it, I want it, I stunt; yellow bone-it
I dream it, I work hard, I grind 'til I own it
I twirl on my haters, albino alligators (Twirl)
El Camino with the seat low, sippin' Cuervo with no chaser
Sometimes I go off (I go off), I go hard (I go hard)
Take what's mine (Take what's mine), I'm a star (I'm a star)
'Cause I slay (Slay), I slay (Hey), I slay (Okay), I slay (Okay)
I slay (Okay), I slay (Okay), I slay (Okay), I slay (Okay)
We gon' slay (Slay), gon' slay (Okay), we slay (Okay), I slay (Okay)
I slay (Okay), okay (Okay), I slay (Okay), okay, okay, okay, okay
Okay, okay, ladies, now let's get in formation, I slay
Okay, ladies, now let's get in formation, 'cause I slay
Prove to me you got some coordination, 'cause I slay
Slay trick, or you get eliminated, I slay

Okay, ladies, now let's get in formation, I slay
Okay, ladies, now let's get in formation
You know you that bitch when you cause all this conversation
Always stay gracious, best revenge is your paper

Girl, I hear some thunder
Golly, look at that water, boy, oh Lord",707
Beyoncé,Halo,I AM... SASHA FIERCE (Platinum Edition),"Remember those walls I built?
Well, baby, they're tumblin' down
And they didn't even put up a fight
They didn't even make a sound
I found a way to let you in
But I never really had a doubt
Standin' in the light of your halo
I got my angel now

It's like I've been awakened
Every rule, I had you breakin'
It's the risk that I'm takin'
I ain't ever gonna shut you out

Everywhere I'm lookin' now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my savin' grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away

I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo, ooh

Hit me like a ray of sun
Burnin' through my darkest night
You're the only one that I want
Think I'm addicted to your light
I swore I'd never fall again
But this don't even feel like fallin'
Gravity can't begin
To pull me back to the ground again

It's like I've been awakened
Every rule, I had you breakin'
The risk that I'm takin'
I'm never gonna shut you out

Everywhere I'm lookin' now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my savin' grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away

I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo, ooh
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo, ooh

Halo, ooh
Halo, ooh
Ooh

Everywhere I'm lookin' now
I'm surrounded by your embrace
Baby, I can see your halo
You know you're my savin' grace
You're everything I need and more
It's written all over your face
Baby, I can feel your halo
Pray it won't fade away

I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo, ooh
I can feel your halo, halo, halo
I can see your halo, halo, halo
I can feel your halo, halo, halo
I can see your halo, halo, halo, ooh",428
Beyoncé,Partition,BEYONCÉ (Platinum Edition),"Let me hear you say, ""Hey, Ms. Carter"" (
Hey, Ms. Carter
)
Say, ""Hey, Ms. Carter"" (
Hey, Ms. Carter
)
Give me somethin'

See me up in the club with fifty-'leven girls
Posted in the back, diamond fangs in my grill
Brooklyn brim with my eyes sittin' low
Every boy in here with me got that smoke
And every girl in here got to look me up and down
All on Instagram, cake by the pound
Circulate the image every time I come around
G's up, tell me how I'm lookin', babe

Boy, this all for you, just walk my way
Just tell me how it's lookin', babe
Just tell me how it's lookin', babe (How it's lookin', babe)
I do this all for you, baby, just take aim
And tell me how it's lookin', babe (How it's lookin', babe)
Tell me how it's lookin', babe, lookin', babe

Drop the bass, mane, the bass get lower
Radio say, ""Speed it up,"" I just go slower
High like treble, pumpin' on the mids
The man ain't ever seen a booty like this
And why you think you keep my name rollin' off the tongue?
'Cause when he want a smash, I'll just write another one
I sneezed on the beat and the beat got sicker
Yoncé all on his mouth like liquor

Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Like, like liquor, like, like, like liquor
Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Yoncé all on his mouth like liquor
Like, like liquor, like, like, like liquor

Beyoncé, Beyoncé?
Are you happy to be in Paris?
Are you happy to be in Paris?
Beyoncé, Beyoncé, Beyoncé
?


(Drum)

Driver, roll up the partition, please
Driver, roll up the partition, please
I don't need you seein' 'Yoncé on her knees
Took forty-five minutes to get all dressed up
We ain't even gonna make it to this club
Now my mascara runnin', red lipstick smudged
Oh, he so horny, yeah, he want to fuck
He popped all my buttons and he ripped my blouse
He Monica Lewinsky'd all on my gown

Oh, there, daddy, daddy didn't bring the towel
Oh, baby, baby, we better slow it down
Took forty-five minutes to get all dressed up
And we ain't even gon' make it to this club

Take all of me
I just wanna be the girl you like
The kind of girl you like
Take all of me
I just wanna be the girl you like
The kind of girl you like is right here with me

Driver, roll up the partition fast (
Hey
)
Driver, roll up the partition fast
Over there, I swear I saw them cameras flash
Handprints and footprints on my glass
Handprints and good grips all on my ass
Private show with the music blastin'
He like to call me ""Peaches"" when we get this nasty
Red wine drip, we'll talk that trash
Chauffeur eavesdroppin', tryin' not to crash

Oh, there, daddy, daddy, now you rip my fur
Oh, baby, baby be sweatin' off my hair
Took forty-five minutes to get all dressed up
And we ain't even gonna make it to this club

Take all of me
I just wanna be the girl you like
The kind of girl you like
Take all of me
I just wanna be the girl you like
The kind of girl you like is right here with me (
Hello
)

Est-ce que tu aimes le sexe?
Le sexe, je veux dire: l'activité physique, le coït. Tu aimes ça ?
Tu ne t'intéresses pas au sexe ?
Les hommes pensent que les féministes détestent le sexe, mais c'est une activité très stimulante et naturelle que les femmes adorent

Take all of me
I just wanna be the girl you like
The kind of girl you like
Take all of me
I just wanna be the girl you like
The kind of girl you like is right here with me (
Hello
)

Bzz-bzz-bzz-bzz-bzz
Bzz-bzz-bzz-bzz-bzz-bzz-bzz-bzz-wop",686
Beyoncé,If I Were a Boy,I AM... SASHA FIERCE (Platinum Edition),"If I were a boy
Even just for a day
I'd roll out of bed in the mornin'
And throw on what I wanted, then go
Drink beer with the guys
And chase after girls
I'd kick it with who I wanted
And I'd never get confronted for it
'Cause they'd stick up for me

If I were a boy
I think I could understand
How it feels to love a girl
I swear I'd be a better man
I'd listen to her
'Cause I know how it hurts
When you lose the one you wanted
'Cause he's taken you for granted
And everything you had got destroyed

If I were a boy
I would turn off my phone
Tell everyone it's broken
So they'd think that I was sleepin' alone
I'd put myself first
And make the rules as I go
'Cause I know that she'd be faithful
Waitin' for me to come home
To come home

If I were a boy
I think I could understand, oh-ooh
How it feels to love a girl
I swear I'd be a better man
I'd listen to her
'Cause I know how it hurts
When you lose the one you wanted (Wanted)
'Cause he's taken you for granted (Granted)
And everything you had got destroyed

It's a little too late for you to come back
Say it's just a mistake, think I'd forgive you like that
If you thought I would wait for you
You thought wrong

But you're just a boy
You don't understand (Yeah, you don't understand, oh)
How it feels to love a girl
Someday, you'll wish you were a better man
You don't listen to her
You don't care how it hurts
Until you lose the one you wanted
'Cause you've taken her for granted
And everything you have got destroyed

But you're just a boy",309
Beyoncé,Mine,BEYONCÉ (Platinum Edition),"I've been watchin' for the signs
Took a trip to clear my mind, oh
Now I'm even more lost
And you're still so fine, oh my, oh my
Been havin' conversations about breakups and separations
I'm not feelin' like myself since the baby
Are we gonna even make it? Oh
'Cause if we are, we're takin' this a little too far
If we are, we're takin' this a little too far
Baby, if we are, we're takin' this a little too far
With me bein' wherever I'm at
Worried 'bout wherever you are
We're takin' this a little too far
We're takin' this a little too far
We're takin' this a little too far


Know you wanna roll with a good girl
Do it big, do it all for a good girl
One time, this is a song for the good girl
Don't sleep when you know you got it good, girl
One time, this is a song for the good girl
Wanna roll, wanna roll with a good girl
One time, this is a song for the good girl
And I still keep it hood, still treat you like I should, what's up?

On my mind, up past my bedtime, no rest at the kingdom
Alone in my place, my heart is away, all that I can think of is
We should get married, we should get married
Let's stop holdin' back on this and let's get carried away

Stop makin' a big deal out of the little things
'Cause I got big deals and I got little things
Got everything I'm asking for but you
Stop makin' a big deal out of the little things
Let's get carried away
Come right now, you know where I stay

I just wanna say, you're mine, you're mine
I just wanna say, you're mine, you're mine
Fuck what you heard, you're mine, you're mine
All I'm really askin' for is you
You're mine, you're mine (
Yeah
)
I just wanna say, you're mine, you're mine
Fuck what you heard, you're mine, you're mine
Long as you know who you belong to

Know you wanna roll with a good girl
Do it big, do it all for a good girl
One time, this is a song for the good girl
Don't sleep when you know you got it good, girl
One time, this is a song for the good girl
Wanna roll, wanna roll with a good girl
One time, this is a song for the good girl
And I still keep it hood, still treat you like I should, what's up?

From eight until late, I think 'bout you
You own my nights, I don't know what to do, do
I can't get no rest, can't get no sleep, yeah
This whole thing got way too deep and we should

Stop makin' a big deal out of the little things
'Cause I got big deals and I got little things
I got everything I'm askin' for but you
Stop makin' a big deal out of the little things
Let's get carried away
Come right now, you know where I stay

I just wanna say, you're mine, you're mine
I just wanna say, you're mine, you're mine
Fuck what you heard, you're mine, you're mine
All I'm really askin' for is you
You're mine, you're mine (
Yeah
)
I just wanna say, you're mine, you're mine
Fuck what you heard, you're mine, you're mine
Long as you know who you belong to

Know you wanna roll with a good girl
Do it big, do it all for a good girl
One time, this is a song for the good girl
Don't sleep when you know you got it good, girl
One time, this is a song for the good girl
Wanna roll, wanna roll with a good girl
One time, this is a song for the good girl
And I still keep it hood, still treat you like I should, what's up?

(All I'm really askin' for is you, yeah)
(Long as you know who you belong to)


Yeah, yeah, yeah
(Pull up on you) I gotta pull up on you
You gon' make me have to pull up on you
Don't go ghost on me, I'ma go ""Thriller"" on you
I'ma just (
Pull up on you
)
I'ma let my hands do the talkin' when I see you, baby girl
I miss feelin' on you (
Pull up on you
)
I miss everything that's real about you
And that's everything about you, that's just how I feel about you (Pull up on you)
Been about you and I'm still about you, but
We ain't finished talkin' (Pull up on you)
I told you you don't need to worry 'bout them bitches
All them fives need to listen when a ten is talkin' (Pull up on you)
'Cause they don't wanna see you happier than them
And, girl, you swear they all your friends and that's been a problem (Pull up on you)
You the one they hate, this come with that (Yeah)
I know you think it's funny that your ex is not a runnin' back
But that nigga came runnin' back (Pull up on you)
And you tell me you done with that
And I believe it's true
Long as you know who you belong to
Oh, oh-oh-oh

All I'm really askin' for is you
Yeah",900
Beyoncé,Hold Up,Lemonade,"Hold up, they don't love you like I love you
Slow down, they don't love you like I love you
Back up, they don't love you like I love you
Step down, they don't love you like I love you
Can't you see there's no other man above you?
What a wicked way to treat the girl that loves you
Hold up, they don't love you like I love you
Oh, down, they don't love you like I love you

Something don't feel right because it ain't right
Especially comin' up after midnight
I smell your secrets, and I'm not too perfect
To ever feel this worthless
How did it come down to this? Scrolling through your call list
I don't wanna lose my pride, but I'ma fuck me up a bitch
Know that I kept it sexy, you know I kept it fun
There's something that I'm missing, maybe my head for one

What's worst, lookin' jealous or crazy? Jealous or crazy?
Or like being walked all over lately, walked all over lately
I'd rather be crazy

Hold up, they don't love you like I love you
Slow down, they don't love you like I love you
Back up, they don't love you like I love you
Step down, they don't love you like I love you
Can't you see there's no other man above you?
What a wicked way to treat the girl that loves you
Hold up, they don't love you like I love you
Slow down, they don't love you like I love you

Let's imagine for a moment that you never made a name for yourself
Or mastered wealth, they had you labeled as a king
Never made it out the cage, still out there movin' in them streets
Never had the baddest woman in the game up in your sheets
Would they be down to ride? No
They used to hide from you, lie to you
But y'all know we were made for each other
So I find you and hold you down
Me sing se

Hold up, they don't love you like I love you
Slow down, they don't love you like I love you
Back up, they don't love you like I love you
Step down, they don't love you like I love you
Can't you see there's no other man above you?
What a wicked way to treat the girl that loves you
Hold up, they don't love you like I love you
Slow down, they don't love you like I love you

Hey, this such a shame
You let this good love go to waste
I always keep the top tier, five-star
Backseat lovin' in the car
Like make that wood, like make that wood
Holly like a boulevard

What's worse, lookin' jealous or crazy? Jealous and crazy?
Or like being walked all over lately, walked all over lately
I'd rather be crazy

Hold up, they don't love you like I love you
Slow down, they don't love you like I love you
Back up, they don't love you like I love you
Step down, they don't love you like I love you
Can't you see there's no other man above you?
What a wicked way to treat the girl that loves you
Hold up, they don't love you like I love you
Oh, down, they don't love you like I love you

I hop up out my bed and get my swag on
I look in the mirror, say, ""What's up?""
What's up, what's up, what's up
I hop up out my bed and get my swag on
I look in the mirror, say, ""What's up?""
What's up, what's up, what's up",613
Beyoncé,Sorry,Lemonade,"Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry, nigga, nah
Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry

He trying to roll me up (I ain't sorry)
I ain't picking up (I ain't sorry)
Headed to the club (I ain't sorry)
I ain't thinking 'bout you (I ain't sorry)
Me and my ladies sip my D'USSÉ cups
I don't give a fuck, chucking my deuces up
Suck on my balls, pause, I had enough (Sorry, I ain't sorry)
I ain't thinking 'bout you
I ain't thinking 'bout

Middle fingers up, put them hands high
Wave it in his face, tell him, boy, bye (Sorry, I ain't sorry)
Tell him, boy, bye, boy, bye, middle fingers up
I ain't thinking 'bout you

Sorry, I ain't sorry (You)
Sorry, I ain't sorry (You)
I ain't sorry, nigga, nah
I ain't thinking 'bout you
Sorry, I ain't sorry
Sorry, I ain't sorry, I ain't sorry
No, no, hell nah

Now you wanna say you're sorry
Now you wanna call me crying
Now you gotta see me wilding
Now I'm the one that's lying
And I don't feel bad about it
It's exactly what you get
Stop interrupting my grinding
(You interrupting my grinding)
I ain't thinking 'bout you

Sorry, I ain't sorry
I ain't thinking 'bout you
I ain't thinking 'bout you
Sorry, I ain't sorry
I ain't thinking 'bout you
I ain't thinking 'bout you

Middle fingers up, put them hands high
Wave it in his face, tell him, boy, bye (Bye) (Sorry, I ain't sorry)
Tell him, boy, bye (Bye), boy, bye (Bye)
Middle fingers up, I ain't thinking 'bout you

Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry, nigga, nah
Sorry, I ain't sorry
Sorry, I ain't sorry
I ain't sorry
No, no, hell nah

Looking at my watch, he shoulda been home
Today, I regret the night I put that ring on
He always got them fucking excuses
I pray to the Lord you reveal what his truth is

I left a note in the hallway
By the time you read it, I'll be far away
I'm far away
But I ain't fucking with nobody
Let's have a toast to the good life
Suicide before you see this tear fall down my eyes
Me and my baby, we gon' be alright
We gon' live a good life
Big homie better grow up
Me and my whoadies 'bout to stroll up
I see them boppers in the corner
They sneaking out the back door
He only want me when I'm not there
He better call Becky with the good hair
He better call Becky with the good hair",447
Beyoncé,All Night,Lemonade,"I found the truth beneath your lies
And true love never has to hide
True love never has to hide
I'll trade your broken wings for mine
Trade your broken wings for mine
I've seen your scars and kissed your crime, oh
Seen your scars and kissed your crime

So many people that I know, they're just tryna touch ya
Kiss up and rub up and feel up
Kiss up and rub up and feel up on you
Give you some time to prove that I can trust you again
I'm gonna kiss up and rub up and feel up
Kiss up and rub up and feel up on you

All night long
Love all night long
Sweet love all night long
Sweet love all night long
All I wanna, ain't no other
We together, I remember
Sweet love all night long

Our love was stronger than your pride
Beyond your darkness, I'm your light, oh
If you get deep, you touch my mind
If you get deep, you touch my mind
Baptize your tears and dry your eyes, oh
Baptize your tears and dry your eyes

So many people, I know that they're just tryna touch ya
Kiss up and rub up and feel up
Kiss up and rub up and feel up on you
Give you some time to prove that I can trust you again
I'm gonna kiss up and rub up and feel up
Kiss up and rub up and feel up on you

All night long
Love all night long
Sweet love all night long
Sweet love all night long
All I wanna, ain't no other
We together, I remember
Sweet love all night long

They say true love's the greatest weapon
To win the war caused by pain, pain
But every diamond has imperfections
But my love's too pure to watch it chip away
Boy, nothing real can be threatened
True love breathes salvation back into me
With every tear came redemption
And my torturer became my remedy

So many people, I know that they're just tryna touch ya
Kiss up and rub up and feel up
Kiss up and rub up and feel up on you
Give you some time to prove that I can trust you again
I'm gonna kiss up and rub up and feel up
Kiss up and rub up and feel up on you

All night long
Love all night long
Sweet love all night long
Sweet love all night long
All I wanna, ain't no other
We together, I remember
Sweet love all night long

How I missed you, my love",433
Beyoncé,Pray You Catch Me,Lemonade,"You can taste the dishonesty
It's all over your breath as you pass it off so cavalier
But even that's a test
Constantly aware of it all
My lonely ear pressed against the walls of your world

Pray to catch you whispering
I pray you catch me listening
I'm prayin' to catch you whispering
I pray you catch me
I'm prayin' to catch you whispering
I pray you catch me listening
I pray you catch me

Nothing else ever seems to hurt like the smile on your face
When it's only in my memory, it don't hit me quite the same
Maybe it's a cause for concern, but I'm not at ease
Keeping my head to the curb

Pray to catch you whispering
I pray you catch me listening
I pray to catch you whispering (Whisper, whisper)
I pray you catch me (Whisper, whisper)
I pray you catch me
I pray you catch me (Pray you)
I'm praying you catch me

What are you doing, my love?",167
